"","ITS2.type.profile.UID","Clade","Majority.ITS2.sequence","Associated.species","ITS2.profile.abundance.local","ITS2.profile.abundance.DB","ITS2.type.profile","Sequence.accession...SymPortal.UID","Average.defining.sequence.proportions.and..stdev."
"166",1917248,"A","A4","None",2,4,"A4-A4fq-A4fp","29206-6483646-3105550","0.813[0.015]-0.135[0.004]-0.052[0.010]"
"167",1917142,"A","A4a/A4","None",2,5,"A4a/A4-A4d","40166/29206-29900","0.411[0.187]/0.387[0.166]-0.202[0.021]"
"168",1917144,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,6,"A3-A3gc-A3gb","22385-22428-50864","0.911[0.026]-0.047[0.016]-0.042[0.010]"
"169",1924987,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,11,"A3-A4","22385-29206","0.836[0.186]-0.164[0.186]"
"170",1916981,"A","A13","Symbiodinium natans,Symbiodinium necroappetens,Symbiodinium tridacnidorum",1,18,"A13/A3","8181-22385","0.996[nan]-0.004[nan]"
"171",1916479,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,61,"A3-A3s-A3q-A3r","22385-63388-22438-22472","0.880[nan]-0.060[nan]-0.040[nan]-0.020[nan]"
"172",1916481,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,15,"A3/A3bi","22385-22403","0.984[nan]-0.016[nan]"
"173",1917000,"A","A13","Symbiodinium necroappetens",1,4,"A13-A1sz","8181-296948","0.942[nan]-0.058[nan]"
"174",1916650,"A","A4","None",1,23,"A4/A4a","29206-40166","0.789[nan]-0.211[nan]"
"175",1918136,"B","B5","None",3,6,"B5-B5ay-B1io-B1in","29665-37591-37592-37590","0.873[0.103]-0.061[0.041]-0.040[0.038]-0.027[0.024]"
"176",1917611,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,65,"B1-B1g-B1s-B1bz","4946-29275-51798-53344","0.890[0.017]-0.052[0.008]-0.037[0.001]-0.022[0.008]"
"177",1918016,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,10,"B1-B1az","4946-89135","0.896[0.026]-0.104[0.026]"
"178",1917814,"B","B19","None",2,14,"B19-B19ai-B19x-B19ak-B19ay","37844-1913913-44466-44077-38312","0.618[0.058]-0.195[0.054]-0.090[0.002]-0.049[0.004]-0.048[0.009]"
"179",1918072,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,7,"B1-B14d-B1jn-B1jp-B1jo","4946-693411-31037-697953-2533813","0.507[0.193]-0.175[0.109]-0.126[0.040]-0.111[0.011]-0.082[0.032]"
"180",1918073,"B","B14d/B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,14,"B1/B14d-B1jp-B1jn-B1jo-B1jx-B1co","693411/4946-31037-697953-2533813-6483639-30454","0.268[0.005]/0.262[0.011]-0.176[0.002]-0.118[0.001]-0.096[0.017]-0.050[0.002]-0.031[0.009]"
"181",1918075,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",2,10,"B1/B1be","4946-29476","0.956[0.019]-0.044[0.019]"
"182",1918222,"B","B2d","None",1,7,"B2d","45468","1.000[nan]"
"183",1917978,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,9,"B1/B14d","4946-693411","0.882[nan]-0.118[nan]"
"184",1917597,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,15,"B1-B1o-B1g","4946-29213-29275","0.941[nan]-0.029[nan]-0.029[nan]"
"185",1917862,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,1,"B1-B1az-B1g-B1bh-B1x-B14b-B1be","4946-89135-29275-90035-53205-29495-29476","0.614[nan]-0.084[nan]-0.080[nan]-0.073[nan]-0.069[nan]-0.044[nan]-0.035[nan]"
"186",1918261,"B","B8a","None",1,26,"B8a","29324","1.000[nan]"
"187",1924793,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,11,"B1-B1g-B1s-B1br-B1bz","4946-29275-51798-44226-53344","0.884[nan]-0.035[nan]-0.035[nan]-0.025[nan]-0.020[nan]"
"188",1917882,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,11,"B1-B1g-B1h","4946-29275-29227","0.967[nan]-0.024[nan]-0.009[nan]"
"189",1918156,"B","B19","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,12,"B19/B1-B19ak","37844-4946-38312","0.758[nan]-0.170[nan]-0.072[nan]"
"190",1917533,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,56,"B1/B5","4946-29665","0.904[nan]-0.096[nan]"
"191",1917676,"B","B1","Breviolum antillogorgium,Breviolum minutum,Breviolum pseudominutum",1,4,"B1-B1ci","4946-1389974","0.837[nan]-0.163[nan]"
"192",1918189,"B","B8a","None",1,11,"B8a-B8h","29324-2161244","0.690[nan]-0.310[nan]"
"193",1917551,"B","B5","None",1,13,"B5-B5ci-B5ay-B1in-B1io","29665-43614-37592-37591-37590","0.674[nan]-0.276[nan]-0.018[nan]-0.017[nan]-0.015[nan]"
"194",1918202,"B","B5","None",1,41,"B5","29665","1.000[nan]"
"195",1922214,"C","C1/C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",19,41,"C1/C3-C3de-C1c-C21ae-C3bb-C3an-C3s-C3dk","2/32-2554-308-38767-982-1354-38269-71161","0.355[0.189]/0.323[0.179]-0.076[0.039]-0.073[0.038]-0.055[0.022]-0.042[0.016]-0.028[0.012]-0.026[0.015]-0.022[0.013]"
"196",1920557,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",17,113,"C3/C3bb-C3de-C21ae-C3s-C3an-C21-C3dk","32-2554-38767-982-38269-1354-71161-41","0.345[0.029]-0.206[0.022]-0.122[0.016]-0.109[0.013]-0.063[0.012]-0.059[0.008]-0.053[0.006]-0.043[0.011]"
"197",1921599,"C","C1/C3","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",13,34,"C1/C3-C3de-C1c-C21ae-C3bb-C3an-C21-C3s","2/32-2554-38767-308-982-1354-41-38269","0.339[0.116]/0.287[0.092]-0.096[0.034]-0.062[0.026]-0.060[0.016]-0.059[0.019]-0.037[0.018]-0.031[0.012]-0.029[0.008]"
"198",1922215,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",11,32,"C3/C3de-C21ae-C3bb-C1-C3an-C3s-C21-C3dk","32-2554-38767-982-2-1354-38269-71161-41","0.360[0.088]-0.167[0.040]-0.108[0.029]-0.094[0.017]-0.076[0.056]-0.059[0.028]-0.046[0.013]-0.045[0.012]-0.044[0.033]"
"199",1924826,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",9,3137,"C1/C3-C1c-C1b-C72k-C1al-C1w","2-308-4-835-32-828-833","0.746[0.026]-0.139[0.022]-0.036[0.006]-0.031[0.004]-0.025[0.015]-0.014[0.005]-0.010[0.001]"
"200",1922258,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",6,8,"C3-C6a-C3y-C3afp","32-4676-2414-2402","0.819[0.013]-0.085[0.009]-0.050[0.009]-0.047[0.009]"
"201",1919512,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",5,2099,"C1-C1c-C1b-C42.2-C1bh-C1br-C72k-C1cb","2-308-4-1-835-831-848-832","0.699[0.020]-0.137[0.025]-0.063[0.013]-0.028[0.006]-0.028[0.003]-0.017[0.005]-0.015[0.004]-0.013[0.003]"
"202",1922211,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",4,4,"C3-C1-C3de-C21ae-C3bb-C1c","32-2-2554-38767-982-308","0.519[0.124]-0.182[0.076]-0.120[0.052]-0.081[0.061]-0.065[0.027]-0.033[0.010]"
"203",1919277,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",3,813,"C1-C1b-C1c-C42.2-C1bh-C1br-C3-C1cb","2-308-32-4-1-831-848-832","0.613[0.044]-0.119[0.032]-0.098[0.048]-0.068[0.014]-0.039[0.020]-0.028[0.010]-0.019[0.008]-0.016[0.007]"
"204",1922567,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",2,184,"C1","2","1.000[0.000]"
"205",1918522,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",2,23,"C3-C3de-C3bb-C21ae-C3cd-C3an-C3s-C3dk","32-2554-38767-53704-982-71161-38269-1354","0.345[0.017]-0.146[0.027]-0.125[0.005]-0.110[0.100]-0.107[0.005]-0.056[0.024]-0.056[0.029]-0.054[0.004]"
"206",1919419,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",2,45,"C1-C1c-C1b-C3-C42.2-C1bh-C1br","2-32-308-4-1-848-831","0.583[0.091]-0.198[0.137]-0.131[0.031]-0.039[0.001]-0.023[0.011]-0.014[0.004]-0.012[0.001]"
"207",1918516,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,150,"C3-C3de-C3bb-C21ae-C3an-C3s-C3dk","32-2554-38767-982-1354-71161-38269","0.373[nan]-0.228[nan]-0.192[nan]-0.101[nan]-0.071[nan]-0.028[nan]-0.007[nan]"
"208",1920970,"C","C1","Cladocopium goreaui,Cladocopium latusorum,Cladocopium madreporum,Cladocopium pacificum,Cladocopium patulum,Cladocopium proliferum,Cladocopium sodalum,Cladocopium thermophilum,Cladocopium vulgare",1,33,"C1/C3/C1c-C1b-C72k","2-32-308-4-835","0.491[nan]-0.363[nan]-0.094[nan]-0.034[nan]-0.017[nan]"
"209",1921620,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,4,"C3/C3de-C21ae-C3dk-C3bb-C21","32-2554-38767-982-41-71161","0.442[nan]-0.163[nan]-0.145[nan]-0.105[nan]-0.081[nan]-0.064[nan]"
"210",1920469,"C","C21","Cladocopium goreaui,Cladocopium latusorum,Cladocopium pacificum,Cladocopium proliferum,Cladocopium vulgare",1,273,"C21/C1","41-2","0.524[nan]-0.476[nan]"
"211",1918437,"C","C3","Cladocopium madreporum,Cladocopium patulum,Cladocopium sodalum,Cladocopium thermophilum",1,16,"C3-C1-C6a-C3y","32-2-4676-2414","0.746[nan]-0.142[nan]-0.079[nan]-0.034[nan]"
"212",1923365,"D","D1","Durusdinium trenchii",2,12,"D1-D4-D4c-D17d-D1r-D17j-D17e","853-854-1730-1768-2582-2587-944","0.581[0.122]-0.223[0.054]-0.100[0.017]-0.030[0.018]-0.026[0.016]-0.025[0.009]-0.016[0.008]"
"213",1923347,"D","D1","Durusdinium trenchii",1,22,"D1-D4c-D4-D17d-D17e-D1r-D17c-D17ad","853-854-1730-2582-2587-14041-1759-944","0.528[nan]-0.182[nan]-0.099[nan]-0.080[nan]-0.043[nan]-0.037[nan]-0.020[nan]-0.011[nan]"
"214",1923225,"D","D1","Durusdinium trenchii",1,130,"D1-D4-D4c-D2-D1c-D17d","853-854-1730-2308-855-2582","0.620[nan]-0.224[nan]-0.078[nan]-0.049[nan]-0.023[nan]-0.006[nan]"
"215",1924913,"D","D1","Durusdinium trenchii",1,115,"D1-D4-D4c-D1c-D2-D1k-D17d","853-854-1730-2308-855-12730-2582","0.570[nan]-0.230[nan]-0.097[nan]-0.038[nan]-0.030[nan]-0.023[nan]-0.011[nan]"
"216",1922996,"D","D1","Durusdinium trenchii",1,1068,"D1/D4/D2-D4c-D1c","853-854-1730-2308-855","0.631[nan]-0.200[nan]-0.095[nan]-0.046[nan]-0.029[nan]"
"217",1923571,"D","D1","Durusdinium trenchii",1,20,"D1-D4-D4c-D17d-D17c-D17e","853-854-1730-2582-1759-2587","0.684[nan]-0.171[nan]-0.073[nan]-0.031[nan]-0.021[nan]-0.021[nan]"
"218",1995660,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",9,20,"A3/A4-A4a-A4fe","22385/29206-40166-318716","0.449[0.108]/0.387[0.086]-0.128[0.052]-0.037[0.014]"
"219",1995682,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",9,21,"A3/A4-A4a-A4fe-A4fo-A4fn","22385/29206-40166-318716-136549-59064","0.367[0.121]/0.340[0.083]-0.152[0.050]-0.057[0.026]-0.056[0.039]-0.028[0.009]"
"220",1995662,"A","A3/A4a","Symbiodinium natans,Symbiodinium tridacnidorum",8,14,"A3/A4a-A4-A4d-A4av","22385/40166-29206-29900-40178","0.661[0.407]/0.166[0.208]-0.090[0.084]-0.045[0.067]-0.037[0.050]"
"221",1995685,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",8,13,"A3/A4-A4a-A4fe-A4fo","22385/29206-40166-318716-136549","0.374[0.158]/0.367[0.079]-0.169[0.080]-0.054[0.053]-0.037[0.043]"
"222",1995690,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",8,11,"A3/A4-A4a-A4d-A4av-A4fe","22385/29206-40166-29900-40178-318716","0.440[0.123]/0.282[0.108]-0.200[0.089]-0.035[0.019]-0.028[0.013]-0.015[0.007]"
"223",1995686,"A","A3/A4a/A13","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",6,16,"A3/A4a/A4/A13-A4d-A4av","22385/40166/8181-29206-29900-40178","0.349[0.251]/0.231[0.091]-0.199[0.094]/0.106[0.103]-0.066[0.023]-0.049[0.017]"
"224",1995236,"A","A4/A3","Symbiodinium natans,Symbiodinium tridacnidorum",5,39,"A3/A4/A4a","29206/22385-40166","0.458[0.186]/0.302[0.309]-0.240[0.164]"
"225",1995689,"A","A4/A3","Symbiodinium natans,Symbiodinium tridacnidorum",4,4,"A4/A3-A4fo-A4fs-A4fe","29206/22385-136549-1955030-318716","0.359[0.125]/0.345[0.202]-0.157[0.075]-0.070[0.043]-0.069[0.028]"
"226",2003566,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",3,12,"A3-A4","22385-29206","0.991[0.004]-0.009[0.004]"
"227",1995656,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",3,27,"A3-A3ah-A3ga","22385-36733-6483645","0.941[0.003]-0.039[0.001]-0.021[0.002]"
"228",1995659,"A","A4a","None",3,10,"A4a-A4-A4d-A4av","40166-29206-29900-40178","0.465[0.036]-0.255[0.018]-0.167[0.024]-0.113[0.007]"
"229",1995773,"A","A4","None",3,7,"A4-A4fe-A4bk","29206-318716-29353","0.771[0.139]-0.161[0.089]-0.068[0.052]"
"230",1995829,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,236,"A3","22385","1.000[0.000]"
"231",1995422,"A","A4a","None",2,18,"A4/A4a-A4dz","40166-29206-136994","0.500[0.001]-0.492[0.001]-0.008[0.001]"
"232",1995654,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,5,"A3-A3ge","22385-364327","0.964[0.007]-0.036[0.007]"
"233",1995655,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,8,"A3/A4-A4fe","22385-29206-318716","0.758[0.020]-0.209[0.017]-0.033[0.003]"
"234",1995666,"A","A4","None",2,5,"A4-A4fe-A4bk-A4au-A4fm","29206-318716-29353-37992-6483651","0.574[0.019]-0.146[0.022]-0.107[0.026]-0.103[0.023]-0.069[0.009]"
"235",1995681,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",2,9,"A3/A4-A4fe-A4fo","22385-29206-318716-136549","0.743[0.226]-0.151[0.129]-0.089[0.094]-0.017[0.003]"
"236",1995683,"A","A3/A4","Symbiodinium natans,Symbiodinium tridacnidorum",2,16,"A3/A4-A4a-A4fe-A4fo-A4d-A4fn","22385/29206-40166-318716-29900-136549-59064","0.336[0.033]/0.295[0.044]-0.239[0.002]-0.039[0.003]-0.035[0.023]-0.033[0.005]-0.022[0.002]"
"237",1995844,"A","A4a","None",1,12,"A4a","40166","1.000[nan]"
"238",1995389,"A","A3bb","None",1,412,"A3bb/A3bt","22415-33881","0.674[nan]-0.326[nan]"
"239",1995477,"A","A13","Symbiodinium necroappetens",1,13,"A13-A13o","8181-30487","0.978[nan]-0.022[nan]"
"240",1995493,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",1,19,"A13/A3","22385-8181","0.958[nan]-0.042[nan]"
"241",1994987,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,62,"A3-A3m","22385-363106","0.962[nan]-0.038[nan]"
"242",1995505,"A","A4","None",1,20,"A4/A4a-A4au","29206-40166-37992","0.578[nan]-0.410[nan]-0.012[nan]"
"243",1995653,"A","A4","None",1,7,"A4-A4fq-A4fp-A4bk-A4fr-A4au","29206-6483646-29353-3105550-37992-1955006","0.739[nan]-0.111[nan]-0.047[nan]-0.036[nan]-0.034[nan]-0.034[nan]"
"244",1995657,"A","A4","None",1,7,"A4-A4a-A4fl","29206-40166-30201","0.686[nan]-0.269[nan]-0.046[nan]"
"245",1995658,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",1,20,"A3/A13/A4","22385-29206-8181","0.930[nan]-0.056[nan]-0.014[nan]"
"246",1995663,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",1,29,"A3/A13/A4-A4a","22385-29206-40166-8181","0.768[nan]-0.174[nan]-0.034[nan]-0.024[nan]"
"247",1995665,"A","A4","None",1,8,"A4-A4fe-A4fo-A4fn-A4au-A4bk","29206-136549-318716-59064-37992-29353","0.346[nan]-0.186[nan]-0.161[nan]-0.116[nan]-0.104[nan]-0.088[nan]"
"248",1995667,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,13,"A3/A4-A4a-A4d","22385-29206-40166-29900","0.715[nan]-0.164[nan]-0.104[nan]-0.017[nan]"
"249",1995680,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum,Symbiodinium necroappetens",1,11,"A3/A4/A13-A4a-A4d","22385-40166-29206-29900-8181","0.836[nan]-0.075[nan]-0.041[nan]-0.033[nan]-0.015[nan]"
"250",1995684,"A","A3","Symbiodinium natans,Symbiodinium tridacnidorum",1,1,"A3-A4-A4a-A4fo","22385-29206-40166-136549","0.909[nan]-0.055[nan]-0.030[nan]-0.006[nan]"
"251",1996614,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",21,44,"B1/B14d-B1jp-B1jn-B1jo-B1co-B1jq","4946/693411-31037-697953-2533813-30454-6483635","0.429[0.133]/0.283[0.092]-0.122[0.034]-0.059[0.018]-0.041[0.018]-0.036[0.014]-0.029[0.011]"
"252",1996638,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",7,12,"B1/B14d-B1be","4946/693411-29476","0.732[0.291]/0.227[0.291]-0.041[0.010]"
"253",1996697,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",6,10,"B1/B14d-B1az-B1x","4946/693411-89135-53205","0.547[0.175]/0.225[0.221]-0.173[0.203]-0.055[0.023]"
"254",2003424,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",6,29,"B1-B1cu-B1cv-B10-B1do-B1fu","4946-29481-59367-1913645-62769-1913651","0.780[0.039]-0.050[0.018]-0.049[0.005]-0.046[0.013]-0.046[0.014]-0.030[0.007]"
"255",1996674,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",5,8,"B1/B5-B14d-B1jy-B1jp","4946-698020-693411-29665-31037","0.489[0.177]-0.156[0.080]-0.139[0.080]-0.119[0.065]-0.097[0.051]"
"256",1996689,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",5,9,"B1-B1jp-B1az-B1jz","4946-31037-90087-89135","0.813[0.050]-0.100[0.024]-0.045[0.019]-0.042[0.010]"
"257",1996616,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",4,4,"B1/B14d-B1jp-B1jn","4946/693411-31037-697953","0.576[0.287]/0.267[0.266]-0.122[0.081]-0.035[0.024]"
"258",1996636,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",4,9,"B1-B1jp-B1az","4946-31037-89135","0.784[0.102]-0.163[0.081]-0.053[0.024]"
"259",1996513,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,10,"B1/B14d","4946-693411","0.920[0.065]-0.080[0.065]"
"260",1996610,"B","B1/B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,17,"B1/B14d-B1jp-B1jn-B1jo-B1jx-B1co","4946/693411-31037-697953-2533813-6483639-30454","0.488[0.257]/0.281[0.216]-0.123[0.066]-0.047[0.017]-0.023[0.011]-0.021[0.009]-0.018[0.007]"
"261",1996611,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,7,"B1-B14d-B1jp","4946-693411-31037","0.687[0.140]-0.201[0.114]-0.112[0.046]"
"262",1996635,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",3,13,"B1/B1be-B5dv","4946-29476-59082","0.900[0.020]-0.059[0.019]-0.042[0.005]"
"263",1996347,"B","B19","None",2,16,"B19-B19ai-B19x-B19ak-B19ay","37844-1913913-44466-38312-44077","0.627[0.064]-0.183[0.064]-0.078[0.006]-0.075[0.007]-0.037[0.000]"
"264",1996582,"B","B5","None",2,4,"B5-B5ci","29665-43614","0.689[0.074]-0.311[0.074]"
"265",1996608,"B","B14d","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,7,"B1/B14d-B1jp-B1jn-B1jo-B1jq","693411-4946-31037-697953-6483635-2533813","0.489[0.041]-0.267[0.079]-0.123[0.047]-0.065[0.018]-0.030[0.012]-0.027[0.015]"
"266",1996613,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,8,"B1-B14d-B1jp-B1be-B1jn-B1jo","4946-31037-693411-29476-697953-2533813","0.725[0.049]-0.117[0.013]-0.085[0.049]-0.035[0.000]-0.024[0.008]-0.015[0.005]"
"267",1996639,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",2,6,"B1jy/B5/B1-B5ci","4946-698020-29665-43614","0.441[0.099]-0.290[0.044]-0.177[0.031]-0.091[0.024]"
"268",1996755,"B","B19","None",2,23,"B19","37844","1.000[0.000]"
"269",1996787,"B","B1dw","None",2,2,"B1dw","29619","1.000[0.000]"
"270",1996808,"B","B8a","None",1,27,"B8a","29324","1.000[nan]"
"271",1996417,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,9,"B1-B1g-B1h","4946-29227-29275","0.964[nan]-0.027[nan]-0.009[nan]"
"272",1996609,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,4,"B1-B1jp-B14d-B1jn-B1jo","4946-31037-697953-693411-2533813","0.640[nan]-0.281[nan]-0.048[nan]-0.027[nan]-0.005[nan]"
"273",1996143,"B","B19","None",1,13,"B19-B19ak","37844-38312","0.692[nan]-0.308[nan]"
"274",1996144,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,81,"B1-B1g-B1s-B1bz","4946-29275-51798-53344","0.837[nan]-0.070[nan]-0.051[nan]-0.043[nan]"
"275",1996684,"B","B5","None",1,9,"B5-B5ay-B1io-B1in","29665-37592-37591-37590","0.675[nan]-0.150[nan]-0.097[nan]-0.078[nan]"
"276",1996730,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum,Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,8,"B1/B1x","4946-53205","0.868[nan]-0.132[nan]"
"277",1996745,"B","B1","Breviolum aenigmaticum,Breviolum dendrogyrum,Breviolum meandrinium,Breviolum minutum,Breviolum pseudominutum",1,188,"B1","4946","1.000[nan]"
"278",1996768,"B","B2d","None",1,9,"B2d","45468","1.000[nan]"
"279",1996782,"B","B1do","None",1,15,"B1do","29481","1.000[nan]"
